File Name,Pos.Z,Depth (cm),Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,Unnamed: 39
wb497_10_8_rec_voi_0099.bmp,1.96839,8.196839,70.0,65.19799,31.44723,48.23343,30.23853,232.35393,7.38869,0.44925,0.75631,-3.62911,9.0,61.0,6.76464,24.68793,17.70299,26.98612,33.75077,41.39103,51.76657,,,,,,,,,,,,112.41121,0.41821,0.27068,0.29051,1.78191,1.68396,11.84654,
wb497_10_8_rec_voi_0100.bmp,1.98827,8.198827,70.0,65.19799,31.36787,48.11171,30.23853,231.21273,7.37101,0.44811,0.75535,-3.28434,13.0,57.0,6.24835,20.57865,16.61079,27.58177,33.83013,42.30464,51.88829,,,,,,,,,,,,112.84003,0.42143,0.27133,0.29263,1.77316,1.68273,11.88490,
wb497_10_8_rec_voi_0101.bmp,2.00815,8.200815,77.0,65.19799,31.25362,47.93647,30.23853,232.36193,7.43472,0.40589,0.71889,-3.39928,23.0,54.0,6.53229,22.33164,17.28764,27.41208,33.94437,42.04437,52.06353,,,,,,,,,,,,113.18806,0.42566,0.26901,0.29217,1.78197,1.68539,12.28979,
wb497_10_8_rec_voi_0102.bmp,2.02803,8.202803,75.0,65.19799,31.09188,47.68840,30.23853,236.07624,7.59286,0.41456,0.72652,-4.01246,16.0,59.0,6.56332,25.34465,17.43006,27.54279,34.10611,42.24484,52.31160,,,,,,,,,,,,113.95874,0.42441,0.26341,0.28894,1.81046,1.67454,12.66656,
wb497_10_8_rec_voi_0103.bmp,2.04792,8.204792,77.0,65.19799,30.91567,47.41813,30.23853,233.78066,7.56188,0.40150,0.71499,-2.52566,31.0,46.0,6.88571,17.47861,18.21550,27.39662,34.28233,42.02064,52.58187,,,,,,,,,,,,115.30222,0.42344,0.26448,0.29329,1.79285,1.6867,12.32814,
wb497_10_8_rec_voi_0104.bmp,2.06780,8.20678,78.0,65.19799,30.81936,47.27041,30.23853,231.07365,7.49768,0.39512,0.70928,-2.28668,38.0,40.0,6.75703,15.56656,17.98212,27.62160,34.37864,42.36573,52.72959,,,,,,,,,,,,117.19737,0.42344,0.26675,0.29756,1.77209,1.67439,12.27531,
wb497_10_8_rec_voi_0105.bmp,2.08768,8.208768,84.0,65.19799,30.64774,47.00718,30.23853,230.50412,7.52108,0.36485,0.68158,-1.47526,43.0,41.0,5.93195,8.86536,16.21650,28.61831,34.55025,43.89446,52.99282,,,,,,,,,,,,119.93121,0.42205,0.26592,0.29978,1.76772,1.68281,12.20602,
wb497_10_8_rec_voi_0106.bmp,2.10757,8.210757,79.0,65.19799,30.44954,46.70318,30.23853,230.62707,7.57408,0.38544,0.70054,-1.74306,41.0,38.0,6.57469,11.55074,17.75781,28.17377,34.74846,43.21263,53.29682,,,,,,,,,,,,123.22424,0.42502,0.26406,0.30134,1.76867,1.68072,12.13431,
wb497_10_8_rec_voi_0107.bmp,2.12745,8.212745,81.0,65.19799,30.24990,46.39698,30.23853,229.59950,7.59009,0.37346,0.68956,-1.16256,52.0,29.0,6.59283,7.74608,17.89451,28.35527,34.94810,43.49102,53.60302,,,,,,,,,,,,125.62626,0.43221,0.26350,0.30443,1.76079,1.67905,12.30884,
wb497_10_8_rec_voi_0108.bmp,2.14733,8.214733,88.0,65.19799,30.04280,46.07933,30.23853,227.31675,7.56643,0.34140,0.65930,-1.03988,62.0,26.0,6.08671,6.42038,16.84693,29.06848,35.15519,44.58493,53.92067,,,,,,,,,,,,127.72125,0.44298,0.26433,0.30931,1.74328,1.67661,12.31708,
wb497_10_8_rec_voi_0109.bmp,2.16721,8.216721,80.0,65.19799,29.79913,45.70560,30.23853,227.38629,7.63063,0.37249,0.68867,-0.66475,49.0,31.0,6.47873,4.37553,17.85862,28.92014,35.39886,44.35740,54.29440,,,,,,,,,,,,129.03941,0.45445,0.26210,0.31135,1.74381,1.67712,12.17549,
wb497_10_8_rec_voi_0110.bmp,2.18710,8.21871,95.0,65.19799,29.73499,45.60722,30.23853,233.65937,7.85806,0.31300,0.63129,-0.26170,61.0,34.0,6.47932,1.77148,17.89160,28.98368,35.46300,44.45487,54.39278,,,,,,,,,,,,129.15456,0.46345,0.25452,0.30354,1.79192,1.68018,12.51149,
