Description,Unit,10.0,12.0,14.0,15.5,17.0,19.0,21.0,22.5,23.5,25.5,27.5,29.5,30.0,32.0,34.0,36.0,37.0,39.0,41.0,43.0,45.0,47.0,4.0,49.0,51.0,53.0,55.0,57.0,58.5,60.5,61.0,61.25,62.0,64.0,66.0,68.0,6.0,70.0,71.0,73.0,75.0,77.0,77.5,78.0,79.0,81.0,83.0,85.0,87.0,8.0,89.0,91.0,93.0
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Depth,cm,11-9cm,13-11cm,15-13cm,16.5-14.5cm,18-16cm,20-18cm,22-20cm,23.5-21.5cm,24.5-22.5cm,26.5-24.5cm,28.5-26.5cm,30.5-28.5cm,31-29cm,33-31cm,35-33cm,37-35cm,38-36cm,40-38cm,42-40cm,44-42cm,46-44cm,48-46cm,5-3cm,50-48cm,52-50cm,54-52cm,56-54cm,58-56cm,59.5-57.5cm,61.5-59.5cm,62-60cm,62.5-60.5,63-61cm,65-63cm,67-65cm,69-67cm,7-5cm,71-69cm,72-70cm,74-72cm,76-74cm,78-76cm,78.5-76.5cm,79-77cm,80-78cm,82-80cm,84-82cm,86-84cm,88-86cm,9-7cm,90-88cm,92-90cm,94-92cm
Percent object volume,%,27.19107,23.97370,24.90232,20.41261,20.68149,21.83783,30.59995,21.44109,22.11452,36.66107,21.54650,22.98339,34.79188,22.07768,21.18102,25.05260,19.93804,29.40647,38.49704,24.22754,27.31881,21.03701,30.85508,25.37392,21.72041,21.07242,18.23344,16.89351,19.68941,16.29083,17.30041,17.37126,21.08676,20.75946,27.04269,22.84025,24.32041,23.00237,35.31719,25.88560,36.58235,23.49102,18.45287,25.22985,18.45697,23.68679,28.74385,19.98392,25.39805,23.28492,32.24154,32.06628,31.19440
Total VOI surface,mm^2,1197.01463,1328.89412,1273.10442,1352.84325,1363.02011,1222.09310,958.71596,1125.09801,1321.80642,966.24186,1138.54368,1255.71549,958.71596,1250.08237,1234.47794,1286.62794,1227.08302,1130.14999,973.76776,1238.18750,1070.34738,1314.26653,890.25947,1298.64792,1383.92240,1277.89255,1294.91647,1383.90550,1121.71416,1300.20183,1263.10166,1054.08827,1247.04591,911.74856,981.29366,1128.98533,1211.22971,1118.71413,966.24186,1174.11056,868.40519,1309.46939,1237.00923,1078.87828,1161.30072,1240.50091,845.82749,1104.35217,1311.49113,1147.17459,1208.04935,1267.16633,1141.61240
Object surface,mm^2,6457.58939,6711.42140,6603.41206,5787.16570,5880.42849,5466.58081,5360.35474,4831.35303,6970.27252,7470.01768,5885.39828,6514.95714,6880.20648,6143.93848,5861.81025,7171.40519,5424.26729,7024.46153,7091.98420,6140.53895,5830.25021,5891.52092,8756.39548,7291.85483,7880.12667,7044.57847,6333.90039,6341.65857,5417.90628,5605.08991,6114.45340,4403.09716,7626.06290,5661.97001,7304.09442,8044.44617,8231.69706,8383.38661,11621.32461,11709.41622,10716.04283,12389.89531,8943.15503,9967.47912,8002.54352,10606.81265,7809.21905,8048.65236,13618.04571,5309.97226,15639.13619,16696.44086,13979.77619
Intersection surface,mm^2,64.32520,71.61138,67.95052,57.59262,50.75740,58.13180,264.44373,48.40585,64.45133,322.02080,43.93032,65.06958,328.52278,57.83715,62.17552,66.53866,62.40954,74.18471,341.50835,57.67402,55.48021,58.47518,219.51688,60.00653,61.08742,54.66873,45.70030,48.70080,41.52220,44.16353,51.87252,36.44833,51.36487,50.49280,241.52558,52.23013,62.43003,62.40766,296.29818,65.20783,278.17034,60.62570,49.01208,64.63689,58.92669,59.07000,218.15901,46.79773,58.07915,50.48544,78.11985,76.24592,70.42097
Object surface / volume ratio,1/mm,8.78906,8.85416,8.89986,8.66211,8.67284,8.85206,8.73750,9.00928,9.93888,10.06463,10.71647,9.74682,9.86366,9.70068,9.51375,9.58088,9.43459,9.63070,9.01218,8.93349,9.24681,9.04461,15.58765,9.34796,10.82366,11.19487,11.34635,11.24940,11.14733,11.16541,11.99219,11.00750,12.79317,14.60997,13.08741,14.22047,12.39223,14.70927,16.25365,17.12735,16.55687,17.28140,16.82649,16.89653,16.41373,15.97026,15.88491,16.72868,17.37818,8.79357,17.63888,17.94626,17.63865
Object surface density,1/mm,2.38984,2.12267,2.21627,1.76816,1.79367,1.93310,2.67367,1.93169,2.19794,3.68980,2.30902,2.24015,3.43175,2.14168,2.01511,2.40026,1.88107,2.83205,3.46942,2.16436,2.52612,1.90272,4.80958,2.37194,2.35094,2.35903,2.06883,1.90042,2.19484,1.81894,2.07470,1.91214,2.69767,3.03295,3.53919,3.24799,3.01384,3.38348,5.74033,4.43352,6.05689,4.05958,3.10497,4.26297,3.02948,3.78284,4.56593,3.34305,4.41372,2.04758,5.68705,5.75470,5.50227
Surface convexity index,1/mm,1.81388,1.82916,1.66411,1.67021,1.75072,1.80178,1.78685,1.99491,2.32779,2.38927,2.20621,2.30383,2.31465,2.15783,1.89740,1.90531,1.92019,2.24666,1.44710,1.57599,1.40101,1.48840,3.11044,1.71462,2.66242,3.12055,3.21203,3.03600,2.95890,2.88654,3.43271,2.91682,3.77107,4.61407,3.87943,4.53146,2.74853,4.68691,5.16542,5.47591,5.49952,5.46093,5.93467,5.43469,5.63314,5.04021,5.02362,5.79346,4.05340,1.76757,3.33613,3.71846,3.79723
Centroid (x),mm,6.13073,6.22307,7.49703,7.12286,6.38079,6.17941,5.52112,5.93578,6.30352,5.50412,5.89453,5.69120,5.50281,6.41623,6.40400,6.73589,5.82842,5.56422,5.50902,5.54469,5.73625,5.77765,5.55130,6.05454,6.43169,6.01501,6.11203,6.06653,5.46701,6.00314,7.31560,6.02177,6.28447,5.50770,5.52847,5.55563,5.58887,6.01692,5.58441,5.64772,5.46772,6.46681,7.03423,5.39437,6.66990,5.73963,5.50995,5.57842,5.76772,5.95743,6.01354,6.01966,5.64372
Centroid (y),mm,5.86247,6.26127,5.38057,6.47120,6.39076,6.10563,5.52088,6.08333,7.01042,5.49867,5.84154,6.33633,5.58907,5.68670,7.06238,5.73333,5.53964,5.70018,5.38653,6.39022,5.35534,6.09289,5.55099,6.43764,5.79519,5.86946,6.22243,5.81638,6.03722,6.40560,5.57229,5.89025,5.47675,5.59038,5.61765,5.78687,5.95164,5.81589,5.51104,5.52287,5.50185,5.61967,5.76498,5.99286,5.73761,5.98345,5.44039,5.81146,6.00137,5.86437,5.94967,5.73880,5.62954
Centroid (z),mm,11.82017,11.36366,10.70776,12.03988,11.17164,12.17105,11.49638,10.08179,12.11235,11.55653,9.73722,11.90374,11.71642,11.49758,10.48483,10.94254,9.44319,12.35234,11.52251,10.56487,13.12106,11.31658,12.27714,11.97862,11.09092,10.80044,12.07112,11.56855,10.06227,12.29620,13.14989,8.71359,11.41976,8.11069,11.86711,10.18793,11.91042,12.93005,12.52098,10.13952,13.04836,11.44975,12.50374,10.01278,9.96696,11.37662,10.09094,13.11751,12.89084,9.45490,12.20641,11.33549,9.91487
